#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540|f__UBA7540|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540|f__UBA7540|g__Gp13-AA77	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7540|f__UBA7540|g__Gp13-AA77|s__	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia	29
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales	25
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae	25
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__	3
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__|s__	3
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__JACMLC01	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__JACMLC01|s__	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__PSRF01	9
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__PSRF01|s__	9
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__QHXM01	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__QHXM01|s__	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__UBA11740	10
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__UBA11740|s__	10
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074|g__	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074|g__|s__	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074|g__JADJLO01	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__RBC074|f__RBC074|g__JADJLO01|s__	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656|g__JADGNW01	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656|g__JADGNW01|s__	2
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia	20
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8	5
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8	5
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__|s__	1
