GTDB-Tk Taxonomy Lineage	n
Bacteria|Actinobacteriota|UBA4738|CADDZG01|WHSQ01|JACDAL01	1
Bacteria|Actinobacteriota|UBA4738|CADDZG01|WHSQ01|WHSV01	1
Bacteria|Actinobacteriota|UBA4738|UBA4738	8
Bacteria|Actinobacteriota|UBA4738|UBA4738|HRBIN12	1
Bacteria|Actinobacteriota|UBA4738|UBA4738|HRBIN12|AC-51	15
Bacteria|Actinobacteriota|UBA4738|UBA4738|HRBIN12|AC-69	4
Bacteria|Actinobacteriota|UBA4738|UBA4738|HRBIN12|DSRY01	4
Bacteria|Actinobacteriota|UBA4738|UBA4738|UBA4738	2
Bacteria|Armatimonadota|Chthonomonadetes|Chthonomonadales|Chthonomonadaceae	1
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|UBA10428|UBA5072	1
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|VadinHA17|LD21	3
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Edaphocola	1
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Ferruginibacter	1
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Ginsengibacter	1
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Puia	7
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|VBAS01	1
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|VBAT01	1
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cyclobacteriaceae|Chryseolinea	1
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cytophagaceae|Cytophaga	1
Bacteria|Bacteroidota|Bacteroidia|Sphingobacteriales|Sphingobacteriaceae|Mucilaginibacter	2
Bacteria|Bacteroidota|Ignavibacteria|Ignavibacteriales|Ignavibacteriaceae|Fen-1301	1
Bacteria|Bacteroidota|Ignavibacteria|SJA-28|OLB5	1
Bacteria|Chlamydiota|Chlamydiia|Chlamydiales|Rhabdochlamydiaceae|CAJCIW01	1
Bacteria|Chloroflexota|Anaerolineae|Anaerolineales|EnvOPS12|Fen-1038	1
Bacteria|Chloroflexota|Anaerolineae|Anaerolineales|EnvOPS12|JACPVF01	1
Bacteria|Chloroflexota|Anaerolineae|Anaerolineales|EnvOPS12|OLB14	1
Bacteria|Chloroflexota|Anaerolineae|Anaerolineales|RBG-16-64-43|JAFGKK01	1
Bacteria|Chloroflexota|Anaerolineae|Anaerolineales|UBA4823|CAIQIV01	1
Bacteria|Chloroflexota|Anaerolineae|Thermoflexales|Fen-1058|Fen-1058	1
Bacteria|Chloroflexota|Anaerolineae|UCB3|UCB3|UCB3	1
Bacteria|Chloroflexota|Chloroflexia|54-19|JADMIH01|JADMIH01	1
