#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Dormibacterota|c__Dormibacteria|o__|f__|g__|s__	1
d__Bacteria|p__Elusimicrobiota	3
d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia	3
d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__2-01-FULL-59-12	2
d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__2-01-FULL-59-12|f__2-01-FULL-59-12	2
d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__2-01-FULL-59-12|f__2-01-FULL-59-12|g__	2
d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__2-01-FULL-59-12|f__2-01-FULL-59-12|g__|s__	2
d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__UBA1565	1
d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__UBA1565|f__UBA9628	1
d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__UBA1565|f__UBA9628|g__GWA2-66-18	1
d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__UBA1565|f__UBA9628|g__GWA2-66-18|s__	1
d__Bacteria|p__Eremiobacterota	9
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria	9
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales	9
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae	9
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__	3
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__|s__	3
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Aquilonibacter	4
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Aquilonibacter|s__	4
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Cybelea	1
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Cybelea|s__	1
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Velthaea	1
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Baltobacterales|f__Baltobacteraceae|g__Velthaea|s__	1
d__Bacteria|p__FCPU426	1
d__Bacteria|p__FCPU426|c__JAAXVQ01	1
d__Bacteria|p__FCPU426|c__JAAXVQ01|o__	1
d__Bacteria|p__FCPU426|c__JAAXVQ01|o__|f__	1
d__Bacteria|p__FCPU426|c__JAAXVQ01|o__|f__|g__	1
d__Bacteria|p__FCPU426|c__JAAXVQ01|o__|f__|g__|s__	1
d__Bacteria|p__Firmicutes	1
d__Bacteria|p__Firmicutes_A	1
d__Bacteria|p__Firmicutes_A|c__Clostridia	1
d__Bacteria|p__Firmicutes_A|c__Clostridia|o__Clostridiales	1
d__Bacteria|p__Firmicutes_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae	1
d__Bacteria|p__Firmicutes_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__	1
d__Bacteria|p__Firmicutes_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__|s__	1
