IMG Taxon id,GOLD biome1,GOLD biome2,High quality reads sampled (up to 500K),Mapped to GEM catalogue,Mapped to NCBI RefSeq,Mapped to either,Nonpareil kmer diversity
3300012527,Aquatic,Freshwater,446491,20619,2058,22254,21.2337684252832
3300020138,Host-associated,Arthropoda,460853,81839,15384,91751,21.2313685279861
3300012979,Host-associated,Mammals,464204,21394,5228,24472,21.2247953982893
3300002074,Host-associated,Plants,356930,17912,11675,25861,21.2121673243177
3300009697,Host-associated,Plants,466566,32464,4292,36088,21.2072895746863
3300024429,Aquatic,Marine,460761,26749,2013,28629,21.2061480823004
3300014164,Aquatic,Freshwater,476163,26951,1193,27419,21.2056775124619
3300021375,Aquatic,Marine,456505,92461,21741,100586,21.1961252773213
3300025719,Aquatic,Marine,451437,219993,19986,223662,21.1900950747625
3300017444,Aquatic,Thermal springs,460077,1907,6546,7613,21.1889307281178
3300025574,Terrestrial,Soil,289128,10692,807,11159,21.1885070105339
3300023295,Aquatic,Non-marine Saline and Alkaline,475900,69368,5563,69875,21.1872032030836
3300027770,Aquatic,Freshwater,450102,80191,8094,84747,21.1864907617247
3300009701,Host-associated,Plants,469580,5004,4383,8041,21.1839183710278
3300025475,Terrestrial,Soil,294658,20916,986,21538,21.1834934107234
3300027975,Aquatic,Freshwater,457261,18277,3597,20987,21.1809578976577
3300021084,Aquatic,Marine,450095,94227,9916,96897,21.1757152187001
3300027984,Host-associated,Arthropoda,369856,1077,796,1769,21.1705390977831
3300024430,Terrestrial,Soil,487086,2625,9017,10547,21.1696601405358
3300027888,Aquatic,Marine,322668,5395,140,5414,21.1667746448988
3300027833,Aquatic,Marine,452536,16557,5938,20044,21.1432935091895
3300025411,Aquatic,Freshwater,463573,94911,6606,98937,21.1375926467318
3300012919,Aquatic,Marine,457575,19848,14267,28567,21.1335231740728
3300010341,Terrestrial,Soil,472512,27362,1518,28432,21.1303609179268
3300027807,Host-associated,Plants,462619,14940,2236,16519,21.1268422523094
3300012940,Terrestrial,Soil,460732,20714,77614,86995,21.1251885778348
3300027641,Terrestrial,Soil,464351,55608,10844,65994,21.1251297733724
3300005937,Host-associated,Plants,323604,4098,4991,7976,21.1231630996399
3300009784,Host-associated,Arthropoda,467411,1831,3902,5439,21.1181338676932
3300010339,Terrestrial,Soil,473439,39615,1559,40733,21.1173569387388
3300024433,Aquatic,Marine,458858,13320,2368,15354,21.1165910633121
3300017991,Aquatic,Non-marine Saline and Alkaline,452682,25333,2169,26148,21.1157951973309
3300027812,Aquatic,Freshwater,473804,17263,1657,18506,21.1136999293644
3300026205,Aquatic,Marine,445014,81829,17148,87442,21.1131622288979
3300002239,Host-associated,Plants,414529,21031,13244,30429,21.113010666955
3300012920,Aquatic,Marine,469663,50577,19003,61855,21.1116079190646
3300025443,Terrestrial,Soil,307427,29689,724,30138,21.1109220274101
3300025724,Engineered,Wastewater,480215,291024,33874,293239,21.1059774679035
3300025627,Terrestrial,Soil,279655,26423,911,26986,21.1035409356547
3300017989,Aquatic,Non-marine Saline and Alkaline,453197,32869,932,33314,21.101341194032
3300021064,Terrestrial,Deep subsurface,455660,3277,644,3646,21.0946002221211
3300017448,Terrestrial,Soil,459779,15979,8800,24105,21.0942305260159
3300010160,Aquatic,Freshwater,459847,86685,19676,102767,21.0937130444683
3300020056,Aquatic,Marine,462874,84862,11309,90156,21.0931562727413
3300026201,Aquatic,Marine,467741,86519,32581,102889,21.0930714557993
3300027825,Aquatic,Freshwater,471826,33057,1540,34249,21.088530914873
3300024511,Aquatic,Freshwater,466340,133859,26642,135052,21.0883174607864
3300024979,Aquatic,Freshwater,392964,81801,17419,87571,21.0831514044649
3300001753,Aquatic,Marine,356193,8794,105,8805,21.0760199561929
3300025901,Host-associated,Plants,335785,12351,8936,18955,21.0710785196349
3300025911,Host-associated,Plants,459593,34001,15163,42593,21.0660375717311
3300027814,Aquatic,Marine,449171,12569,416,12707,21.0645858762613
3300024280,Aquatic,Freshwater,465560,131771,35886,134679,21.0641356783697
3300017990,Aquatic,Non-marine Saline and Alkaline,450123,32823,15545,34782,21.0483956986496
3300018040,Aquatic,Freshwater,469673,144781,1068,145196,21.0454668172139
3300025315,Host-associated,Plants,398889,18341,8351,23906,21.0426333847626
3300025390,Aquatic,Freshwater,460363,131505,7511,135677,21.0389657371927
3300024340,Aquatic,Marine,475982,11504,2619,12637,21.0349808903162
