uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,co2Trapped
5c58dc30-ac0d-4064-916d-2c83dc0e7c13,2015-04-28,BART_001.basePlot.bgc,D01,BART,BART_001,distributed,2014-08-19T18:11Z,BART_001-O-15-1-20140819,,BART_001-O-15-1-20140819-CN,,soil,N,0.5,-27,1.63,41.43,25.4,OK,OK,,,1,Replicate samples,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
9e59851a-8f97-45ca-bcf6-b1503c8b1e81,2015-04-28,BART_001.basePlot.bgc,D01,BART,BART_001,distributed,2014-08-19T18:11Z,BART_001-M-15-1-20140819,,BART_001-M-15-1-20140819-CN,,soil,N,4.8,-26.1,0.36,11.39,31.5,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
c702549e-ba22-43e3-83cc-fd8b60c4d56e,2015-04-28,BART_001.basePlot.bgc,D01,BART,BART_001,distributed,2014-08-19T18:40Z,BART_001-O-39-16-20140819,,BART_001-O-39-16-20140819-CN,,soil,N,0.8,-27.9,1.85,48.68,26.4,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
bcceed56-3c37-4b20-8440-400bb92a0cc5,2015-04-28,BART_001.basePlot.bgc,D01,BART,BART_001,distributed,2014-08-19T18:40Z,BART_001-M-39-16-20140819,,BART_001-M-39-16-20140819-CN,,soil,N,3.1,-27.8,0.7,12.59,17.9,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
d1cd11b7-1d41-4eec-be4e-97e90c43ceae,2015-04-28,BART_001.basePlot.bgc,D01,BART,BART_001,distributed,2014-08-19T19:01Z,BART_001-O-14-7-20140819,,BART_001-O-14-7-20140819-CN,,soil,N,1.7,-28.1,1.67,58.19,34.9,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
f723ba8e-a626-4348-a36f-160989fb5333,2015-04-28,BART_001.basePlot.bgc,D01,BART,BART_001,distributed,2014-08-19T19:01Z,BART_001-M-14-7-20140819,,BART_001-M-14-7-20140819-CN,,soil,N,3.4,-26.8,0.14,4.49,31.1,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
576f5bc4-a449-4506-a67f-a2a138cc0c37,2015-04-28,BART_006.basePlot.bgc,D01,BART,BART_006,distributed,2014-08-20T12:57Z,BART_006-O-28-3-20140820,,BART_006-O-28-3-20140820-CN,,soil,N,1.8,-27.7,1.78,51.78,29.2,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
ef513be6-8cd1-4a50-af61-876208ededc8,2015-04-28,BART_006.basePlot.bgc,D01,BART,BART_006,distributed,2014-08-20T12:57Z,BART_006-M-28-3-20140820,,BART_006-M-28-3-20140820-CN,,soil,N,6.4,-26.8,0.27,8.69,32.6,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
a0cfb968-e1cf-41a9-99be-38738f77776c,2015-04-28,BART_028.basePlot.bgc,D01,BART,BART_028,distributed,2014-08-20T13:21Z,BART_028-O-37-22-20140820,,BART_028-O-37-22-20140820-CN,,soil,N,-2.1,-28.5,1.76,46.39,26.3,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
1a103996-16dd-4422-8d43-1c7751e506ab,2015-04-28,BART_028.basePlot.bgc,D01,BART,BART_028,distributed,2014-08-20T13:21Z,BART_028-M-37-22-20140820,,BART_028-M-37-22-20140820-CN,,soil,N,0.8,-27.4,0.31,9.05,28.9,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
