uid,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF,publicationDate,release
d7ecb125-1e6a-40ab-8be2-fa8cea4d1e69,UKFS,2018-11-01,2018-11-01,UKFS-20181101-BREF1,UKFS-20181101-BREF1-A,B00000016689,UKFS-20181101-BREF1-B,B00000016684,UKFS-20181101-BREF1-C,B00000016688,,,20211222T033516Z,RELEASE-2022
f9ef813c-74ec-4537-bd44-0d11fc9c03a4,UKFS,2018-11-28,2018-11-28,UKFS-20181128-BREF1,UKFS-20181128-BREF1-A,B00000016714,UKFS-20181128-BREF1-B,B00000016713,UKFS-20181128-BREF1-C,B00000016726,,,20211222T033516Z,RELEASE-2022
07342a32-2dd3-4b21-835b-4a579835b3eb,GRSM,2021-04-06,2021-04-06,GRSM-20210406-BREF1,GRSM-20210406-BREF1-A,B00000059297,GRSM-20210406-BREF1-B,B00000059296,GRSM-20210406-BREF1-C,B00000059303,"",,20220131T153113Z,PROVISIONAL
323bf507-3270-4fb1-a76d-9bcfe1aaf0e4,GRSM,2021-04-07,2021-04-07,GRSM-20210407-BREF1,GRSM-20210407-BREF1-A,B00000059321,GRSM-20210407-BREF1-B,B00000059291,GRSM-20210407-BREF1-C,B00000059323,"",,20220131T153113Z,PROVISIONAL
255cda5c-f34d-45a8-9e36-eb0860cd6a90,GRSM,2021-04-08,2021-04-08,GRSM-20210408-BREF1,GRSM-20210408-BREF1-A,B00000059272,GRSM-20210408-BREF1-B,B00000059275,GRSM-20210408-BREF1-C,B00000059273,"",,20220131T153113Z,PROVISIONAL
f11df99e-919e-44a9-bdf5-cffc89bd04e4,GRSM,2021-04-27,2021-04-27,GRSM-20210427-BREF1,GRSM-20210427-BREF1-A,B00000059441,GRSM-20210427-BREF1-B,B00000059449,GRSM-20210427-BREF1-C,B00000059450,Blanks have 50mL,,20220131T153113Z,PROVISIONAL
4ee14121-b52b-4cf0-a8b6-4c9f80689390,GRSM,2021-04-28,2021-04-28,GRSM-20210428-BREF1,GRSM-20210428-BREF1-A,B00000059483,GRSM-20210428-BREF1-B,B00000059459,GRSM-20210428-BREF1-C,B00000059473,"",,20220131T153113Z,PROVISIONAL
60f8300c-5d3a-43e0-910c-eadcb5588d36,GRSM,2021-04-29,2021-04-29,GRSM-20210429-BREF1,GRSM-20210429-BREF1-A,B00000059489,GRSM-20210429-BREF1-B,B00000059451,GRSM-20210429-BREF1-C,B00000059487,Blanks contain 50mL kcl,,20220131T153113Z,PROVISIONAL
b15e10cb-a04f-4b58-83d5-ee40171b8d8a,GRSM,2021-06-29,2021-06-29,GRSM-20210629-BREF1,GRSM-20210629-BREF1-A,B00000059810,GRSM-20210629-BREF1-B,B00000059740,GRSM-20210629-BREF1-C,B00000059811,,,20220407T140800Z,PROVISIONAL
92b3af5c-7e93-41de-8f99-b7a3b683d918,GRSM,2021-06-30,2021-06-30,GRSM-20210630-BREF1,GRSM-20210630-BREF1-A,B00000059818,GRSM-20210630-BREF1-B,B00000059817,GRSM-20210630-BREF1-C,B00000059730,,,20220407T140800Z,PROVISIONAL
