uid,domainID,siteID,plotID,namedLocation,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF,publicationDate,release
cee353fe-4439-4c4d-8c0a-2ea373c14ed1,D01,BART,BART_001,BART_001.basePlot.bgc,2014-08-19T19:01Z,NEON.DOC.014048vC,O,,,BART_001-O-14-7-20140819,,BART_001-O-14-7-20140819-CN,,BART_001-O-14-7-20140819-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
3ce2efa6-20da-43fc-a7bc-02093bcf4aa3,D01,BART,BART_001,BART_001.basePlot.bgc,2014-08-19T19:01Z,NEON.DOC.014048vC,M,,,BART_001-M-14-7-20140819,,BART_001-M-14-7-20140819-CN,,BART_001-M-14-7-20140819-BA,,,,OK,,,legacyData,20220107T002933Z,RELEASE-2022
affd00f7-9580-4c83-8baf-6ac3a28beabd,D01,BART,BART_006,BART_006.basePlot.bgc,2014-08-20T12:57Z,NEON.DOC.014048vC,O,,,BART_006-O-28-3-20140820,,BART_006-O-28-3-20140820-CN,,BART_006-O-28-3-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
3a21c6e3-a488-4f08-9ff1-6669aee4385e,D01,BART,BART_006,BART_006.basePlot.bgc,2014-08-20T12:57Z,NEON.DOC.014048vC,M,,,BART_006-M-28-3-20140820,,BART_006-M-28-3-20140820-CN,,BART_006-M-28-3-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
f76cfc73-441c-4d92-88ee-8ec56b707057,D01,BART,BART_028,BART_028.basePlot.bgc,2014-08-20T13:21Z,NEON.DOC.014048vC,M,,,BART_028-M-37-22-20140820,,BART_028-M-37-22-20140820-CN,,BART_028-M-37-22-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
e2139838-dfd8-46bf-95a4-a98dc374599f,D01,BART,BART_028,BART_028.basePlot.bgc,2014-08-20T13:21Z,NEON.DOC.014048vC,O,,,BART_028-O-37-22-20140820,,BART_028-O-37-22-20140820-CN,,BART_028-O-37-22-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
00bf1bfa-abd9-46ad-831b-61edc80c03e1,D01,BART,BART_006,BART_006.basePlot.bgc,2014-08-20T14:00Z,NEON.DOC.014048vC,M,,,BART_006-M-13-6-20140820,,BART_006-M-13-6-20140820-CN,,BART_006-M-13-6-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
7899887b-4d50-4f69-9758-de01baced556,D01,BART,BART_006,BART_006.basePlot.bgc,2014-08-20T14:00Z,NEON.DOC.014048vC,O,,,BART_006-O-13-6-20140820,,BART_006-O-13-6-20140820-CN,,BART_006-O-13-6-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
91a414d2-3b33-4a9b-b4af-43b0986ac1c6,D01,BART,BART_028,BART_028.basePlot.bgc,2014-08-20T14:32Z,NEON.DOC.014048vC,M,,,BART_028-M-30-27-20140820,,BART_028-M-30-27-20140820-CN,,BART_028-M-30-27-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
9a5b72c1-eac7-4877-b83b-76f7a4159a28,D01,BART,BART_028,BART_028.basePlot.bgc,2014-08-20T14:32Z,NEON.DOC.014048vC,O,,,BART_028-O-30-27-20140820,,BART_028-O-30-27-20140820-CN,,BART_028-O-30-27-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
e395a7b7-d897-40dd-8c2a-d4efa0f0c893,D01,BART,BART_006,BART_006.basePlot.bgc,2014-08-20T14:38Z,NEON.DOC.014048vC,M,,,BART_006-M-0-13-20140820,,BART_006-M-0-13-20140820-CN,,BART_006-M-0-13-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
0bce72cc-4667-44f7-a5d8-1971e63fae0a,D01,BART,BART_028,BART_028.basePlot.bgc,2014-08-20T15:13Z,NEON.DOC.014048vC,O,,,BART_028-O-13-32-20140820,,BART_028-O-13-32-20140820-CN,,BART_028-O-13-32-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
79373fe2-de54-49ef-b069-593d41cab5c1,D01,BART,BART_028,BART_028.basePlot.bgc,2014-08-20T15:13Z,NEON.DOC.014048vC,M,,,BART_028-M-13-32-20140820,,BART_028-M-13-32-20140820-CN,,BART_028-M-13-32-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
a91632c5-d56d-44de-9117-dd2e085268a7,D01,BART,BART_033,BART_033.basePlot.bgc,2014-08-20T16:35Z,NEON.DOC.014048vC,O,,,BART_033-O-3-37-20140820,,BART_033-O-3-37-20140820-CN,,BART_033-O-3-37-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
e7c6ae92-2cf9-4adb-b3b0-104d175fc465,D01,BART,BART_033,BART_033.basePlot.bgc,2014-08-20T16:35Z,NEON.DOC.014048vC,M,,,BART_033-M-3-37-20140820,,BART_033-M-3-37-20140820-CN,,BART_033-M-3-37-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
efcd5ef1-d48c-493b-a4bf-725b1c88f62d,D01,BART,BART_034,BART_034.basePlot.bgc,2014-08-20T17:13Z,NEON.DOC.014048vC,M,,,BART_034-M-30-38-20140820,,BART_034-M-30-38-20140820-CN,,BART_034-M-30-38-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
e4b65813-74b7-4647-880b-c3ea2bea850c,D01,BART,BART_034,BART_034.basePlot.bgc,2014-08-20T17:13Z,NEON.DOC.014048vC,O,,,BART_034-O-30-38-20140820,,BART_034-O-30-38-20140820-CN,,BART_034-O-30-38-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
ae51d49d-6324-42b9-bf75-fb3fe4d5cc90,D01,BART,BART_033,BART_033.basePlot.bgc,2014-08-20T17:15Z,NEON.DOC.014048vC,M,,,BART_033-M-6-12-20140820,,BART_033-M-6-12-20140820-CN,,BART_033-M-6-12-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
cad2add0-358d-4961-98d2-e33b9f3bfc6a,D01,BART,BART_033,BART_033.basePlot.bgc,2014-08-20T17:15Z,NEON.DOC.014048vC,O,,,BART_033-O-6-12-20140820,,BART_033-O-6-12-20140820-CN,,BART_033-O-6-12-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
f3a16b0b-3608-4b25-8926-56458ab6b2ab,D01,BART,BART_034,BART_034.basePlot.bgc,2014-08-20T17:47Z,NEON.DOC.014048vC,M,,,BART_034-M-23-30-20140820,,BART_034-M-23-30-20140820-CN,,BART_034-M-23-30-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
5388ec95-727c-4f98-829f-4719460fdf94,D01,BART,BART_034,BART_034.basePlot.bgc,2014-08-20T17:47Z,NEON.DOC.014048vC,O,,,BART_034-O-23-30-20140820,,BART_034-O-23-30-20140820-CN,,BART_034-O-23-30-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
7c055c3d-ea23-4b8a-9d65-acfd469c425b,D01,BART,BART_033,BART_033.basePlot.bgc,2014-08-20T17:53Z,NEON.DOC.014048vC,O,,,BART_033-O-36-16-20140820,,BART_033-O-36-16-20140820-CN,,BART_033-O-36-16-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
1eb45500-45e7-44ab-95ea-84a8c3cc10a3,D01,BART,BART_033,BART_033.basePlot.bgc,2014-08-20T17:53Z,NEON.DOC.014048vC,M,,,BART_033-M-36-16-20140820,,BART_033-M-36-16-20140820-CN,,BART_033-M-36-16-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
874e0ebc-032d-4ff4-90ac-3f564d4fc85a,D01,BART,BART_034,BART_034.basePlot.bgc,2014-08-20T18:34Z,NEON.DOC.014048vC,M,,,BART_034-M-33-4-20140820,,BART_034-M-33-4-20140820-CN,,BART_034-M-33-4-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
dbee57ca-c890-43ed-9079-30274902fee0,D01,BART,BART_034,BART_034.basePlot.bgc,2014-08-20T18:34Z,NEON.DOC.014048vC,O,,,BART_034-O-33-4-20140820,,BART_034-O-33-4-20140820-CN,,BART_034-O-33-4-20140820-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
5584b5f0-653c-41ef-8fa4-d1abd409d875,D01,BART,BART_032,BART_032.basePlot.bgc,2014-08-21T13:11Z,NEON.DOC.014048vC,M,,,BART_032-M-39-30-20140821,,BART_032-M-39-30-20140821-CN,,BART_032-M-39-30-20140821-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
a6d8e012-ea54-461b-98d2-7b7b8cc092b6,D01,BART,BART_032,BART_032.basePlot.bgc,2014-08-21T13:11Z,NEON.DOC.014048vC,O,,,BART_032-O-39-30-20140821,,BART_032-O-39-30-20140821-CN,,BART_032-O-39-30-20140821-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
fb7fc615-b65b-4597-b68a-73b643246dd8,D01,BART,BART_032,BART_032.basePlot.bgc,2014-08-21T13:15Z,NEON.DOC.014048vC,O,,,BART_032-O-2-1-20140821,,BART_032-O-2-1-20140821-CN,,BART_032-O-2-1-20140821-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
bdd5980d-ce9a-40a3-8e81-36670f263ad4,D01,BART,BART_032,BART_032.basePlot.bgc,2014-08-21T13:15Z,NEON.DOC.014048vC,M,,,BART_032-M-2-1-20140821,,BART_032-M-2-1-20140821-CN,,BART_032-M-2-1-20140821-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
f60dd2ef-ef6b-4b91-8fa6-04fd84d18bdc,D01,BART,BART_032,BART_032.basePlot.bgc,2014-08-21T13:51Z,NEON.DOC.014048vC,M,,,BART_032-M-8-11-20140821,,BART_032-M-8-11-20140821-CN,,BART_032-M-8-11-20140821-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
33eb80f9-e883-41e4-9d81-bf99c1885559,D01,BART,BART_032,BART_032.basePlot.bgc,2014-08-21T13:51Z,NEON.DOC.014048vC,O,,,BART_032-O-8-11-20140821,,BART_032-O-8-11-20140821-CN,,BART_032-O-8-11-20140821-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
993c98f5-fab6-408d-8fa5-ff81a7dd2ab9,D01,BART,BART_002,BART_002.basePlot.bgc,2014-08-21T18:10Z,NEON.DOC.014048vC,M,,,BART_002-M-33-17-20140821,,BART_002-M-33-17-20140821-CN,,BART_002-M-33-17-20140821-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
6fda5f7b-6cae-4bd3-9540-a7d8ba72d934,D01,BART,BART_002,BART_002.basePlot.bgc,2014-08-21T18:24Z,NEON.DOC.014048vC,M,,,BART_002-M-17-37-20140821,,BART_002-M-17-37-20140821-CN,,BART_002-M-17-37-20140821-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
27aae78c-083a-4e26-82ed-e922d943dc9b,D01,BART,BART_002,BART_002.basePlot.bgc,2014-08-21T18:45Z,NEON.DOC.014048vC,M,,,BART_002-M-2-27-20140821,,BART_002-M-2-27-20140821-CN,,BART_002-M-2-27-20140821-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
2ab608f0-13a8-414a-8789-c0183a499da5,D01,BART,BART_024,BART_024.basePlot.bgc,2015-07-27T12:26Z,NEON.DOC.014048vF,O,,,BART_024-O-21.5-5.5-20150727,,BART_024-O-21.5-5.5-20150727-CN,,BART_024-O-21.5-5.5-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
9c5f44af-a024-469b-ad58-7dbad13cf294,D01,BART,BART_024,BART_024.basePlot.bgc,2015-07-27T12:26Z,NEON.DOC.014048vF,M,,,BART_024-M-21.5-5.5-20150727,,BART_024-M-21.5-5.5-20150727-CN,,BART_024-M-21.5-5.5-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
5c2d5214-330a-43b9-b0be-0ccc1c11d1d7,D01,BART,BART_024,BART_024.basePlot.bgc,2015-07-27T12:46Z,NEON.DOC.014048vF,M,,,BART_024-M-38-22-20150727,,BART_024-M-38-22-20150727-CN,,BART_024-M-38-22-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
b613a420-ab2f-4ca4-9e14-da6278943d79,D01,BART,BART_024,BART_024.basePlot.bgc,2015-07-27T12:46Z,NEON.DOC.014048vF,O,,,BART_024-O-38-22-20150727,,BART_024-O-38-22-20150727-CN,,BART_024-O-38-22-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
34021269-d839-40e7-bb2c-d57e99c5942b,D01,BART,BART_024,BART_024.basePlot.bgc,2015-07-27T13:06Z,NEON.DOC.014048vF,O,,,BART_024-O-6-22.5-20150727,,BART_024-O-6-22.5-20150727-CN,,BART_024-O-6-22.5-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
d7cdc7f8-5792-4485-9155-d04a264807bc,D01,BART,BART_024,BART_024.basePlot.bgc,2015-07-27T13:06Z,NEON.DOC.014048vF,M,,,BART_024-M-6-22.5-20150727,,BART_024-M-6-22.5-20150727-CN,,BART_024-M-6-22.5-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
0f3dab25-422a-4b74-b835-0c2c5a8c6e3a,D01,BART,BART_003,BART_003.basePlot.bgc,2015-07-27T13:55Z,NEON.DOC.014048vF,O,,,BART_003-O-34.5-17-20150727,,BART_003-O-34.5-17-20150727-CN,,BART_003-O-34.5-17-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
505f0826-3daf-4788-8fb5-5deed94a489e,D01,BART,BART_003,BART_003.basePlot.bgc,2015-07-27T13:55Z,NEON.DOC.014048vF,M,,,BART_003-M-34.5-17-20150727,,BART_003-M-34.5-17-20150727-CN,,BART_003-M-34.5-17-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
b6b5f937-0750-4659-a6d9-2f75f0fd065f,D01,BART,BART_003,BART_003.basePlot.bgc,2015-07-27T14:09Z,NEON.DOC.014048vF,M,,,BART_003-M-33.5-36.5-20150727,,BART_003-M-33.5-36.5-20150727-CN,,BART_003-M-33.5-36.5-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
cc5969c6-6008-4e47-8fd7-22b4a1f2bd5d,D01,BART,BART_003,BART_003.basePlot.bgc,2015-07-27T14:09Z,NEON.DOC.014048vF,O,,,BART_003-O-33.5-36.5-20150727,,BART_003-O-33.5-36.5-20150727-CN,,BART_003-O-33.5-36.5-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
3264e20a-0e60-4482-bb16-8352ec0df4e6,D01,BART,BART_003,BART_003.basePlot.bgc,2015-07-27T14:28Z,NEON.DOC.014048vF,O,,,BART_003-O-12.5-34-20150727,,BART_003-O-12.5-34-20150727-CN,,BART_003-O-12.5-34-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
cbdae5e9-31ac-4331-b63b-981c77c59aef,D01,BART,BART_003,BART_003.basePlot.bgc,2015-07-27T14:28Z,NEON.DOC.014048vF,M,,,BART_003-M-12.5-34-20150727,,BART_003-M-12.5-34-20150727-CN,,BART_003-M-12.5-34-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
96936f75-0724-4360-846b-885235d05cf0,D01,BART,BART_040,BART_040.basePlot.bgc,2015-07-27T16:40Z,NEON.DOC.014048vF,M,,,BART_040-M-26-9-20150727,,BART_040-M-26-9-20150727-CN,,BART_040-M-26-9-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
254d320c-3159-4700-8cbd-c41dbea2b84b,D01,BART,BART_040,BART_040.basePlot.bgc,2015-07-27T16:40Z,NEON.DOC.014048vF,O,,,BART_040-O-26-9-20150727,,BART_040-O-26-9-20150727-CN,,BART_040-O-26-9-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
4d232d00-5f0b-41df-a176-c5a249891523,D01,BART,BART_040,BART_040.basePlot.bgc,2015-07-27T16:51Z,NEON.DOC.014048vF,M,,,BART_040-M-20.5-30.5-20150727,,BART_040-M-20.5-30.5-20150727-CN,,BART_040-M-20.5-30.5-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
0d935b2e-1d62-4153-aa7a-710e05ac5c08,D01,BART,BART_040,BART_040.basePlot.bgc,2015-07-27T16:51Z,NEON.DOC.014048vF,O,,,BART_040-O-20.5-30.5-20150727,,BART_040-O-20.5-30.5-20150727-CN,,BART_040-O-20.5-30.5-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
281a15fe-ae42-4e85-957f-9cfba22f6f66,D01,BART,BART_040,BART_040.basePlot.bgc,2015-07-27T17:01Z,NEON.DOC.014048vF,O,,,BART_040-O-6-29-20150727,,BART_040-O-6-29-20150727-CN,,BART_040-O-6-29-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
9402c1be-6753-4361-913d-bbc17bc4e08a,D01,BART,BART_040,BART_040.basePlot.bgc,2015-07-27T17:01Z,NEON.DOC.014048vF,M,,,BART_040-M-6-29-20150727,,BART_040-M-6-29-20150727-CN,,BART_040-M-6-29-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
d1cb18dc-cbe4-4bb5-9fe0-7d26d92b631a,D01,BART,BART_071,BART_071.basePlot.bgc,2015-07-27T19:16Z,NEON.DOC.014048vF,O,,,BART_071-O-39-19.5-20150727,,BART_071-O-39-19.5-20150727-CN,,BART_071-O-39-19.5-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
bfbc26a1-e6b7-4363-8db2-51df75bc6b0b,D01,BART,BART_071,BART_071.basePlot.bgc,2015-07-27T19:16Z,NEON.DOC.014048vF,M,,,BART_071-M-39-19.5-20150727,,BART_071-M-39-19.5-20150727-CN,,BART_071-M-39-19.5-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
08516a1b-53d2-4364-8c8e-e5c719e64876,D01,BART,BART_071,BART_071.basePlot.bgc,2015-07-27T19:32Z,NEON.DOC.014048vF,M,,,BART_071-M-35-36-20150727,,BART_071-M-35-36-20150727-CN,,BART_071-M-35-36-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
7278475a-5ced-49ed-9742-2cccb7d2d085,D01,BART,BART_071,BART_071.basePlot.bgc,2015-07-27T19:32Z,NEON.DOC.014048vF,O,,,BART_071-O-35-36-20150727,,BART_071-O-35-36-20150727-CN,,BART_071-O-35-36-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
855ba4aa-576a-4dd5-8d23-4193563646b8,D01,BART,BART_071,BART_071.basePlot.bgc,2015-07-27T19:48Z,NEON.DOC.014048vF,M,,,BART_071-M-5.5-38-20150727,,BART_071-M-5.5-38-20150727-CN,,BART_071-M-5.5-38-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
d997c09a-1859-41c4-ac50-0a23fbac952c,D01,BART,BART_071,BART_071.basePlot.bgc,2015-07-27T19:48Z,NEON.DOC.014048vF,O,,,BART_071-O-5.5-38-20150727,,BART_071-O-5.5-38-20150727-CN,,BART_071-O-5.5-38-20150727-BA,,,,OK,,,legacyData,20211221T211447Z,RELEASE-2022
